[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,27-01-2025_RUCL3_TB001_0.1T H PARA C
FILEOPENTIME,2346874.94,01/28/2025,10:59 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,33,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (�A),Bridge 2 Resistance (ohms),Bridge 2 Excitation (�A),Bridge 3 Resistance (ohms),Bridge 3 Excitation (�A),Bridge 4 Resistance (ohms),Bridge 4 Excitation (�A),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,2355495.805,3.6956077,999.777282714844,0.00347543850391482,2.5940884677931E-7,1,1.99850670813958,40.0298881530762,1.98283791693803,20.3200001269579,0.0389994638362904,0.00710445941825439,0.25,2.31733217100997E-5,0.00345684567277352,3.99677519926398E-5,3.6893907,3.7018247,999.777282714844,999.777282714844,62.4904184839874,20.8228147899126,5.154188,0,0,0,80,4886,3.4011,999.777282714844,,,,,,,,,,,,,0,,,,0.19461185,,,,,,3.6956077,,,,
,2355601.585,3.86577235,999.777282714844,0.00347830162172338,2.12484681168501E-7,1,1.99850670813958,40.0298881530762,1.98289019141639,20.3200001269579,0.0390335114504114,0.00710514207161372,0.25,2.27163107441851E-5,0.0034596958164754,3.95271084030117E-5,3.8587632,3.8727815,999.777282714844,999.777282714844,62.2551482996989,20.8299150652857,5.154188,0,0,0,80,4886,3.59465,999.777282714844,,,,,,,,,,,,,0,,,,0.20457945,,,,,,3.86577235,,,,
,2355603.715,3.87251935,999.777282714844,0.00347834408014421,2.04675952839289E-7,1,1.99850670813958,40.0298881530762,1.98297515562192,20.3200001269579,0.0390364205616627,0.00710074134165894,0.25,2.22913381550717E-5,0.00345974011824292,3.91046022102584E-5,3.8722572,3.8727815,999.777282714844,999.777282714844,62.4833838273143,20.8300424150339,4.781127,0,0,0,80,4886,3.5896,999.777282714844,,,,,,,,,,,,,0,,,,0.20457945,,,,,,3.87251935,,,,
,2355703.615,4.0304582,999.777282714844,0.00348165368148295,2.4615243539403E-7,1,1.99850670813958,40.0298881530762,1.9827842737433,20.3200001269579,0.0390689747941207,0.00711255703463475,0.25,2.28209859908434E-5,0.00346302954117304,3.96475441109638E-5,4.0258236,4.0350928,999.777282714844,999.777282714844,62.2942297256604,20.8255124373976,4.781127,0,0,0,80,4886,3.7574,999.777282714844,,,,,,,,,,,,,0,,,,0.2108034,,,,,,4.0304582,,,,
,2355707.825,4.03447055,999.777282714844,0.00348145092982973,2.31850016587362E-7,1,1.99850670813958,40.0298881530762,1.9828350567844,20.3200001269579,0.0390673368479946,0.00711412539187302,0.25,2.2980662387778E-5,0.00346282708998661,3.98053845046078E-5,4.0311813,4.0377598,999.777282714844,999.777282714844,62.333311151622,20.824283524045,5.154188,0,0,0,80,4886,3.7834,999.777282714844,,,,,,,,,,,,,0,,,,0.2108034,,,,,,4.03447055,,,,
,2355809.47,4.20319625,999.777282714844,0.00348550963746618,2.33169832350331E-7,1,1.99850670813958,40.0298881530762,1.98270082581394,20.3200001269579,0.0391107973711445,0.00711944283580684,0.25,2.27834556917846E-5,0.00346686514719773,3.96289829609784E-5,4.199923,4.2064695,999.777282714844,999.777282714844,62.5232468817951,20.8315455500603,4.781127,0,0,0,80,4886,3.9362,999.777282714844,,,,,,,,,,,,,0,,,,0.21939755,,,,,,4.20319625,,,,
,2355811.58,4.20372295,999.777282714844,0.0034852772277764,2.70877756834077E-7,1,1.99850670813958,40.0298881530762,1.98280383870845,20.3200001269579,0.0391106454921142,0.00711636516638804,0.25,2.25188417303702E-5,0.00346663526125405,3.93646447184203E-5,4.2009764,4.2064695,999.777282714844,999.777282714844,62.4411758872758,20.8304184662669,5.154188,0,0,0,80,4886,3.95755,999.777282714844,,,,,,,,,,,,,0,,,,0.2183017,,,,,,4.20372295,,,,
,2355917.3,4.3794832,999.777282714844,0.00349055539998307,2.44778494524643E-7,1,1.99850670813958,40.0298881530762,1.9825112753814,20.3200001269579,0.0391637387654854,0.00712969801859448,0.25,2.28697643894358E-5,0.00347188360044159,3.97393936830317E-5,4.3750877,4.3838787,999.777282714844,999.777282714844,62.343472322372,20.8297907923464,4.781127,0,0,0,80,4886,4.1254,999.777282714844,,,,,,,,,,,,,0,,,,0.22382515,,,,,,4.3794832,,,,
,2355919.54,4.3788414,999.777282714844,0.00349052316092316,2.94471038708018E-7,1,1.99850670813958,40.0298881530762,1.98247617673913,20.3200001269579,0.0391627085566607,0.00712955288836559,0.25,2.28732126774992E-5,0.00347185151629128,3.97426667059844E-5,4.3738041,4.3838787,999.777282714844,999.777282714844,62.7280335538335,20.8330151421538,5.154188,0,0,0,80,4886,4.1409,999.777282714844,,,,,,,,,,,,,0,,,,0.22382515,,,,,,4.3788414,,,,
,2355965.09,4.3063078,999.777282714844,,,2,,,,20.2660004261732,,,,,,,4.3063078,4.3063078,999.777282714844,999.777282714844,,,5.154188,,,,-99999999,4882,4.3116,999.777282714844,,,,,,,,,,,,,,,,,,,,,,,4.3063078,,,,
,2356027.665,4.5507393,999.777282714844,0.00350399443978236,1.54796308310519E-7,1,1.99850670813958,40.0298881530762,1.98273929829037,20.2500000596046,0.0393184965477443,0.00715986597685853,0.25,2.31298697288899E-5,0.0034852498280613,4.00635331757252E-5,4.5470219,4.5544567,999.777282714844,999.777282714844,62.3239316093912,20.8313676385951,4.781127,0,0,0,80,4886,4.3098,999.777282714844,,,,,,,,,,,,,0,,,,0.2306346,,,,,,4.5507393,,,,
,2356029.575,4.549675,999.777282714844,0.00350403283287454,2.0328766435616E-7,1,1.99850670813958,40.0298881530762,1.98289221518058,20.2500000596046,0.039321979762873,0.00715955666608082,0.25,2.30487325281128E-5,0.0034852884125822,3.99830143071647E-5,4.5448933,4.5544567,999.777282714844,999.777282714844,62.4341412306028,20.8283541545193,4.781127,0,0,0,80,4886,4.314,999.777282714844,,,,,,,,,,,,,0,,,,0.2306346,,,,,,4.549675,,,,
,2356136.565,4.7175419,999.777282714844,0.0035109686203935,2.72563035582258E-7,1,1.99850670813958,40.0298881530762,1.98271729542333,20.2500000596046,0.0393961214381522,0.00717526428946307,0.25,2.32848458991715E-5,0.00349218605909131,4.02516327383343E-5,4.7120194,4.7230644,999.777282714844,999.777282714844,62.5560752796028,20.8316630105989,5.154188,0,0,0,80,4886,4.5136,999.777282714844,,,,,,,,,,,,,0,,,,0.23765125,,,,,,4.7175419,,,,
,2356139.225,4.7282672,999.777282714844,0.00351109283478623,2.83582158201171E-7,1,1.99850670813958,40.0298881530762,1.98282634040826,20.2500000596046,0.0393995567043284,0.00717603686280689,0.25,2.32983412820134E-5,0.00349230953925352,4.02656609157386E-5,4.7230644,4.73347,999.777282714844,999.777282714844,62.0816267684296,20.8308584398746,4.781127,0,0,0,80,4886,4.512,999.777282714844,,,,,,,,,,,,,0,,,,0.2364642,,,,,,4.7282672,,,,
,2356245.405,4.89592675,999.777282714844,0.00351917301851856,1.41006498573517E-7,1,1.99850670813958,40.0298881530762,1.98269897212532,20.2500000596046,0.0394876102759095,0.00719323374200923,0.25,2.34519581968012E-5,0.00350034586936822,4.04577918744756E-5,4.8924208,4.8994327,999.777282714844,999.777282714844,62.6123525329874,20.8346012507194,5.154188,0,0,0,80,4886,4.6848,999.777282714844,,,,,,,,,,,,,0,,,,0.24003725,,,,,,4.89592675,,,,
,2356246.825,4.90005735,999.777282714844,0.00351921046398567,1.92637968636514E-7,1,1.99850670813958,40.0298881530762,1.98265261072523,20.2500000596046,0.0394872010936217,0.00719285703219454,0.25,2.34261411290928E-5,0.00350038323759786,4.04322943196933E-5,4.8994327,4.900682,999.777282714844,999.777282714844,62.5506038799682,20.8339960969302,5.154188,0,0,0,80,4886,4.69825,999.777282714844,,,,,,,,,,,,,0,,,,0.2388383,,,,,,4.90005735,,,,
,2356307.02,5.10281255,999.777282714844,0.00353366519388806,3.03550860278081E-7,1,1.99850670813958,40.0298881530762,1.98257359140372,20.2500000596046,0.0396470664587663,0.00722676989016525,0.25,2.39357832117181E-5,0.00351475841733859,4.100958634826E-5,5.0231619,5.1824632,999.777282714844,999.777282714844,62.2653094704489,20.8323345994735,4.781127,0,0,0,80,4886,4.99765,999.777282714844,,,,,,,,,,,,,0,,,,0.23179815,,,,,,5.10281255,,,,
,2356309.04,5.1704569,999.777282714844,0.00353523881760357,1.96333007097674E-7,1,1.99850670813958,40.0298881530762,1.98258179785781,20.2500000596046,0.0396644878692971,0.00723224181290216,0.25,2.41445418910438E-5,0.00351632257920026,4.12248940836594E-5,5.1584506,5.1824632,999.777282714844,999.777282714844,62.668629786372,20.8315532194543,5.154188,0,0,0,80,4886,4.97815,999.777282714844,,,,,,,,,,,,,0,,,,0.23528895,,,,,,5.1704569,,,,
,2356458.885,5.23559855,999.777282714844,0.00353932271930696,2.82981730513204E-7,1,1.99850670813958,40.0298881530762,1.98237614154957,20.2500000596046,0.0397070365829604,0.00723612627471005,0.25,2.38382388316378E-5,0.0035203861764062,4.09400983832895E-5,5.2339239,5.2372732,999.777282714844,999.777282714844,62.6545604730259,20.8345816883724,4.781127,0,0,0,80,4886,5.04935,999.777282714844,,,,,,,,,,,,,0,,,,0.2639304,,,,,,5.23559855,,,,
,2356460.935,5.238775,999.777282714844,0.00353921692884255,2.31353755501816E-7,1,1.99850670813958,40.0298881530762,1.98240565981952,20.2500000596046,0.0397064262750122,0.0072359403616669,0.25,2.3831082382667E-5,0.00352028097935347,4.09324649788995E-5,5.2372732,5.2402768,999.777282714844,999.777282714844,62.6373646456028,20.8352542092625,5.154188,0,0,0,80,4886,5.0524,999.777282714844,,,,,,,,,,,,,0,,,,0.2639304,,,,,,5.238775,,,,
,2356580.39,5.1675997,999.777282714844,,,2,,,,20.2660004261732,,,,,,,5.1675997,5.1675997,999.777282714844,999.777282714844,,,4.781127,,,,-99999999,4886,5.2399,999.777282714844,,,,,,,,,,,,,,,,,,,,,,,5.1675997,,,,
touchdown = 15.1000004261732 mm,2356600.18,5.6773677,999.777282714844,0.00357934427420257,3.90290770120403E-7,1,1.99850670813958,40.0298881530762,1.98279462263271,20.2500000596046,0.040164293278963,0.00731836972084248,0.25,2.40141147233885E-5,0.00356019340647073,4.13098473321434E-5,5.6773677,5.6773677,999.777282714844,999.777282714844,62.5412243377374,20.8332637708052,4.781127,0,0,0,80,4886,5.464,999.777282714844,,,,,,,,,,,,,0,,,,0.2774483,,,,,,5.6773677,,,,
