[Header]
TITLE,H parra C RuCl3 9T HC, I removeed the 190th line to make it plot nicely as it had no sample coupling for that point
BYAPP,HeatCapacity,3.9.6,1.7
INFO,33,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,207.43,MOLWGHT:Formula Weight (g/mole)
INFO,4,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (�J/K),Addenda HC Err (�J/K),Total HC (�J/K),Total HC Err (�J/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (�J/K)
8319388.27,Error: Warning: Current field is 90000.391 Oe;
8319388.42,Error: but addenda was obtained at 0.021 Oe.
8319472.19,Error: Temperature of platform does not match the system temperature : System = 15.003 K;  Platform = 14.376 K
8324014,,5905,,19.3332,90000.391,9.1E-6,18.892613,0.43839346,5.1951544,0.01803,68.709682,0.0917,895.20582,1.397,0.27442945,32.426932,0.0080787069,99.647544,215.33257,0.3486,1,,,,2.7690115E-5,60.875791,356.93084,0.27498336,0
8324235.13,,5905,,19.3332,90000.391,9.1E-6,18.916342,0.46606322,5.1955618,0.01752,68.884841,0.09205,895.4458,1.222,0.43791616,31.462174,0.0025748772,99.884654,215.59723,0.3334,1,,,,2.8489034E-5,64.853864,357.828,0.27465996,0
8324481.56,,5905,,19.3332,90000.391,9.1E-6,18.90591,0.45983249,5.2006459,0.0172,68.814819,0.09191,896.1846,1.095,2.4664113,31.909921,0.0055150346,99.755778,215.40606,0.3217,1,,,,2.814344E-5,62.924348,357.43343,0.27508043,0
8324931.78,,5905,,20.3449,90000.391,9.2E-6,19.890711,0.48222279,5.6849071,0.01984,76.849084,0.1071,981.2599,1.564,0.3454574,33.857679,0.0078118164,99.679643,219.79101,0.361,1,,,,2.9061045E-5,63.819842,395.6404,0.28580713,0
8325196.61,,5905,,20.3482,90000.391,9.1E-6,19.918736,0.51556371,5.6983045,0.01903,77.081886,0.1076,983.62408,1.274,6.9641086,33.564319,0.0057516681,99.76234,219.92195,0.3367,1,,,,2.9364957E-5,67.715358,396.75604,0.28607761,0
8325457.25,,5905,,20.3344,90000.391,9.1E-6,19.920097,0.51258757,5.6989949,0.01894,77.095302,0.1076,983.74733,1.238,3.9733443,33.428725,0.0053784265,99.776893,219.92778,0.3337,1,,,,2.9484106E-5,67.128639,396.81026,0.28609273,0
8325891.23,,5905,,21.4014,90000.391,9.1E-6,20.932044,0.53313863,6.2264331,0.02163,85.803543,0.1231,1076.3656,1.684,0.5683444,35.669935,0.0093506878,99.641774,224.12279,0.3685,1,,,,3.0267613E-5,66.857449,438.15046,0.2974594,0
8326167.2,,5905,,21.4014,90000.391,9E-6,20.96205,0.56699899,6.2396476,0.02098,86.059556,0.1236,1078.7239,1.448,7.1080155,35.079198,0.0052736309,99.794932,224.27871,0.3501,1,,,,3.0804618E-5,71.339871,439.40754,0.297664,0
8326438.88,,5905,,21.4014,90000.391,9.1E-6,20.962417,0.56206075,6.2390541,0.02089,86.064121,0.1236,1078.6341,1.415,4.5033538,34.982061,0.0052085834,99.796927,224.29005,0.3475,1,,,,3.0887058E-5,70.158396,439.42295,0.29763047,0
8326919.83,,5905,,22.5197,90000.391,9.1E-6,22.061458,0.5786922,6.8319862,0.02406,95.926966,0.1426,1182.8264,1.951,0.35885329,37.407603,0.0093470351,99.663927,228.68457,0.3869,1,,,,3.1709999E-5,69.964121,486.70793,0.30967972,0
8327209.28,,5905,,22.5197,90000.391,9E-6,22.095077,0.6195553,6.8473764,0.02302,96.223921,0.1433,1185.5718,1.587,23.421928,36.870399,0.0063441659,99.768903,228.85239,0.3602,1,,,,3.2218003E-5,74.815207,488.19243,0.30990507,0
8327494.94,,5905,,22.5197,90000.391,9.1E-6,22.094975,0.61412834,6.8462386,0.02298,96.224136,0.1433,1185.391,1.574,2.5847973,36.784737,0.0058865971,99.785125,228.86467,0.3593,1,,,,3.228367E-5,73.740799,488.18791,0.30985501,0
8327951.64,,5905,,23.6889,90000.391,9.1E-6,23.175263,0.6331621,7.4725424,0.02894,106.22751,0.167,1295.0329,2.868,0.55358104,40.39611,0.015887106,99.475813,232.76331,0.4484,1,,,,3.2200767E-5,73.569474,537.09282,0.32243614,0
8328260.66,,5905,,23.6886,90000.391,9.1E-6,23.248933,0.67919882,7.4848828,0.02618,106.87864,0.1687,1297.6473,2.079,0.96378114,39.061893,0.0078025978,99.73523,233.36682,0.3947,1,,,,3.3294562E-5,80.792219,540.51288,0.32194522,0
8328560.17,,5905,,23.6886,90000.391,9E-6,23.255832,0.66637074,7.5063537,0.02564,106.94525,0.1689,1301.1297,1.884,18.222975,38.957548,0.0076255119,99.740068,233.19937,0.3807,1,,,,3.3471988E-5,78.123787,540.83374,0.32277295,0
