[Header]
TITLE,28-03-2025_RuCl3_TB001_0T _001_300-3K
BYAPP,HeatCapacity,3.9.6,1.7
INFO,33,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,207.43,MOLWGHT:Formula Weight (g/mole)
INFO,4,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (µJ/K)
7545240.16,,5905,,146.417,0.316,9.1E-6,146.34859,3.4552125,73.647334,0.2369,3830.4161,2.855,15546.957,12.65,0.30043195,123.383,0.15932531,99.30386,372.72054,2.702,1,,,,0.00012650799,236.90489,21417.911,0.50323226,0
7546131.83,,5905,,146.416,0.316,9E-6,146.38212,3.5222517,73.893148,0.2363,3831.4511,2.855,15587.098,12.01,0.20527628,122.411,0.14681699,99.35245,370.61843,2.676,1,,,,0.00012780676,246.76601,21427.724,0.50479628,0
7547286.77,,5905,,143.082,0.316,9.2E-6,143.07106,3.4417415,72.835432,0.2278,3688.4766,2.77,15275.852,8.997,0.4266072,121.93796,0.11759459,99.473039,371.41924,2.411,1,,,,0.00012565783,244.822,20469.33,0.50908569,0
7548167.36,,5905,,143.051,0.316,9.1E-6,143.01275,3.4100124,73.00704,0.2327,3686.1015,2.768,15300.778,11.46,0.56094301,123.11513,0.15234882,99.322609,369.78108,2.551,1,,,,0.00012476926,243.87593,20452.646,0.51049323,0
7549057.72,,5905,,143.042,0.316,9E-6,143.03977,3.4236476,72.567819,0.2291,3686.8011,2.769,15231.602,10.2,0.096247383,120.92919,0.11230339,99.493417,373.65514,2.467,1,,,,0.00012632349,246.23026,20460.376,0.50732617,0
7550323.97,,5905,,139.814,0.316,9.2E-6,139.77597,3.3288519,71.441536,0.2241,3546.3628,2.697,14911.983,9.187,0.55887867,120.74337,0.093318063,99.573321,374.63779,2.319,1,,,,0.00012380914,241.85837,19537.321,0.51111459,0
7551199.61,,5905,,139.785,0.316,9.1E-6,139.71051,3.3230576,71.902938,0.2336,3544.1942,2.696,14983.219,13.39,2.248186,125.26793,0.16898003,99.252088,370.57258,2.557,1,,,,0.00012013544,241.48674,19519.027,0.5146566,0
7552105.58,,5905,,139.784,0.316,9.1E-6,139.76751,3.3666201,71.689666,0.2302,3545.6145,2.696,14950.71,12.12,0.037252296,120.90677,0.076747509,99.648925,372.52304,2.483,1,,,,0.00012390854,250.53585,19534.958,0.51292081,0
7553360.05,,5905,,136.59,0.316,9.2E-6,136.52406,3.2389217,70.317045,0.2242,3406.4098,2.635,14593.135,11.1,0.36862593,119.68215,0.06795743,99.682496,375.16893,2.331,1,,,,0.00012216079,241.81354,18638.819,0.5150524,0
7554224.63,,5905,,136.59,0.316,9E-6,136.42682,3.2151581,70.849531,0.2252,3402.9733,2.633,14674.412,10.8,5.3631864,124.72163,0.14905258,99.328236,370.52851,2.33,1,,,,0.00011812734,239.36429,18612.277,0.51932261,0
7555252.58,,5905,,136.59,0.316,9.1E-6,136.48012,3.2747339,70.731507,0.2241,3404.5846,2.634,14657.247,10.43,0.067130752,122.19264,0.1083151,99.502467,371.64331,2.308,1,,,,0.00012030579,249.44326,18626.823,0.51825502,0
7556395.06,,5905,,133.45,0.316,9E-6,133.38523,3.1925288,69.415209,0.2179,3272.0831,2.578,14315.336,9.074,0.29065404,122.47756,0.097380678,99.548689,373.77759,2.151,1,,,,0.00011719688,244.38527,17791.619,0.52041152,0
7557280.39,,5905,,133.489,0.316,9.2E-6,133.31671,3.1785289,69.828272,0.2235,3269.4949,2.577,14378.462,11.44,6.7017062,125.3147,0.14792295,99.327207,370.27477,2.28,1,,,,0.0001152033,244.95513,17773.345,0.52377734,0
7558312.86,,5905,,133.459,0.316,9.1E-6,133.34909,3.2022841,69.711142,0.2191,3270.3036,2.577,14360.636,9.262,0.13958562,122.80026,0.10907288,99.494453,371.30389,2.167,1,,,,0.00011729775,250.6294,17781.979,0.5227718,0
7559591.75,,5905,,130.379,0.316,9.1E-6,130.28754,3.0980464,68.299992,0.2195,3138.8263,2.517,14004.659,11.64,0.20214956,120.01327,0.059680575,99.713863,373.82877,2.2,1,,,,0.00011689427,245.60051,16974.842,0.52422506,0
7560461.05,,5905,,130.424,0.316,9.1E-6,130.21733,3.0529964,68.65924,0.2204,3136.5174,2.515,14059.503,11.59,0.25266887,124.62934,0.12995072,99.397635,370.81642,2.205,1,,,,0.00011322362,240.02654,16956.554,0.52726651,0
7561489.03,,5905,,130.416,0.316,9.1E-6,130.21749,3.117065,68.782426,0.219,3136.2901,2.515,14078.873,10.68,0.27583654,124.40208,0.12789895,99.405454,369.85298,2.163,1,,,,0.00011358166,249.25868,16956.595,0.52821188,0
7562657.06,,5905,,127.443,0.316,9.1E-6,127.29698,3.0497876,67.184723,0.213,3010.7126,2.447,13699.118,9.955,0.38721343,121.19304,0.068826816,99.668565,373.78033,2.043,1,,,,0.00011326446,248.80416,16204.521,0.52777939,0
7563534.52,,5905,,127.408,0.316,9.1E-6,127.22557,3.0005798,67.325144,0.216,3008.2266,2.445,13718.971,11.31,0.89607785,124.70267,0.12435307,99.416747,372.49666,2.11,1,,,,0.00011040725,242.38609,16186.345,0.52917936,0
7564435.95,,5905,,127.451,0.316,9.1E-6,127.27644,3.0371568,67.454966,0.2175,3010.1153,2.446,13741.513,11.84,1.602994,123.89479,0.12581555,99.405589,371.6524,2.139,1,,,,0.00011131766,249.40534,16199.292,0.52998784,0
7565581.52,,5905,,124.538,0.316,9E-6,124.38328,2.9751641,66.015965,0.2096,2885.8459,2.364,13388.314,9.965,1.5840786,121.4877,0.060832959,99.703658,373.97067,1.973,1,,,,0.0001104047,247.78958,15471.2,0.5307463,0
7566461.2,,5905,,124.503,0.316,9.1E-6,124.32547,2.9200337,66.218675,0.2057,2883.6549,2.362,13418.372,7.195,3.1000963,123.7537,0.10567763,99.49327,372.27967,1.845,1,,,,0.00010876873,242.9754,15456.823,0.53262356,0
7567354.45,,5905,,124.507,0.316,9.1E-6,124.33036,2.9400436,66.616948,0.21,2883.8159,2.363,13481.894,9.234,1.7501916,124.21945,0.1183685,99.43253,369.31466,1.95,1,,,,0.000108916,247.50739,15458.038,0.53580597,0
7568521.53,,5905,,121.654,0.316,9.1E-6,121.5119,2.8822981,64.957618,0.2081,2762.8329,2.271,13096.928,10.72,0.46005388,120.08353,0.050156567,99.748912,373.08901,1.943,1,,,,0.00010923615,248.4389,14765.143,0.53457822,0
7569390.63,,5905,,121.653,0.316,9.1E-6,121.44724,2.8248471,65.144146,0.2061,2760.7199,2.269,13124.49,9.414,0.72450367,124.08251,0.10464221,99.491638,371.52375,1.885,1,,,,0.00010610956,240.16705,14749.432,0.53639874,0
7570288.92,,5905,,121.692,0.316,9.1E-6,121.46075,2.8747632,65.409907,0.2062,2761.1504,2.27,13167.2,9.066,0.63901441,124.42787,0.1072035,99.479438,369.61861,1.874,1,,,,0.00010616811,248.16503,14752.713,0.53852713,0
7572079.22,,5905,,118.884,0.316,9E-6,118.599,2.8635811,64.178298,0.2153,2640.404,2.17,12850.517,14.71,1.0669409,128.0779,0.14267128,99.316413,369.72848,2.063,1,,,,0.00010077005,248.85574,14065.723,0.54113693,0
7573003.17,,5905,,118.884,0.316,9E-6,118.67756,2.8478453,64.108044,0.2027,2642.7535,2.172,12841.69,9.215,0.31705346,123.29627,0.079801933,99.603585,370.47765,1.815,1,,,,0.00010441475,256.15579,14084.364,0.54018673,0
7573894.64,,5905,,118.884,0.316,9E-6,118.64149,2.7895533,64.125553,0.1999,2641.4954,2.171,12843.218,7.495,0.19335286,123.85482,0.09338452,99.53792,370.2394,1.737,1,,,,0.0001039997,246.59253,14075.803,0.54049855,0
7575050.55,,5905,,116.185,0.316,9.1E-6,115.95292,2.7257685,62.506549,0.2109,2528.0907,2.075,12472.246,14.76,0.12002883,118.72484,0.036505,99.809645,373.23484,1.995,1,,,,0.0001051791,247.70964,13445.08,0.53906835,0
7575909.98,,5905,,116.152,0.316,9.1E-6,115.89373,2.6651276,62.551892,0.2022,2526.274,2.073,12477.643,11.22,0.19668911,122.70815,0.081732819,99.587031,372.72468,1.838,1,,,,0.00010195391,237.44968,13431.357,0.5397349,0
7576799.63,,5905,,116.153,0.316,9E-6,115.90594,2.7268496,62.605806,0.2057,2526.784,2.074,12486.73,12.65,0.11028735,123.87161,0.087278435,99.562952,372.38389,1.902,1,,,,0.00010108554,245.4163,13434.186,0.54014323,0
7578314.05,,5905,,113.511,0.316,9.1E-6,113.20504,2.6910008,62.074411,0.1995,2415.3966,1.979,12290.803,10.57,1.136722,125.74658,0.1205444,99.3918,367.3685,1.76,1,,,,9.812914E-5,247.74321,12815.381,0.5483361,0
7579225.06,,5905,,113.514,0.316,9.1E-6,113.21983,2.6836416,61.744653,0.2028,2415.6871,1.98,12238.632,12.46,3.9908984,124.17415,0.1357786,99.308389,369.69354,1.839,1,,,,9.9002885E-5,251.49316,12818.73,0.54535193,0
7580121.06,,5905,,113.514,0.316,9.1E-6,113.26114,2.6491967,61.741063,0.1956,2417.0675,1.981,12239.442,9.095,0.10277121,121.85016,0.076233892,99.604781,369.85326,1.693,1,,,,0.00010070351,248.34831,12828.087,0.54512131,0
7581620.92,,5905,,110.89,0.316,9.2E-6,110.58619,2.5802206,60.705771,0.1979,2308.5715,1.891,11966.241,11.62,0.044280371,122.03953,0.084625024,99.554047,368.12362,1.748,1,,,,9.8338469E-5,243.70032,12229.304,0.54894533,0
7582502.69,,5905,,110.893,0.316,9E-6,110.6176,2.5574501,60.526026,0.1897,2309.6139,1.891,11938.688,7.708,0.24011299,121.25062,0.071757681,99.620271,369.44856,1.579,1,,,,9.87072E-5,244.07907,12236.254,0.54716451,0
7583378.75,,5905,,110.925,0.316,9.1E-6,110.59638,2.5521019,60.610385,0.192,2308.9073,1.891,11951.402,8.893,0.13447542,122.07541,0.081795219,99.569562,368.8049,1.63,1,,,,9.8177478E-5,242.50123,12231.56,0.54803226,0
7584888.8,,5905,,108.391,0.316,9.2E-6,108.01578,2.5249145,59.653835,0.195,2205.9108,1.807,11696.228,11.64,0.13588683,123.12849,0.098833137,99.474592,366.55807,1.697,1,,,,9.5322648E-5,244.15082,11667.408,0.55226964,0
