% xData0 , data0, errData0, xTheory0 , theory0, xData1 , data1, errData1, xTheory1 , theory1, xData2 , data2, errData2, xTheory2 , theory2, xData3 , data3, errData3, xTheory3 , theory3
 , , , 0.0966796889, 0.0834198445,  , , , 0.0966796889, 0.0572164506,  , , , 0.0966796889, 0.109007426,  , , , 0.0966796889, 0.189616695
 , , , 0.097460939, 0.0828989297,  , , , 0.097460939, 0.0577096082,  , , , 0.097460939, 0.108410425,  , , , 0.097460939, 0.189610675
 , , , 0.098242189, 0.0823361427,  , , , 0.098242189, 0.0582059696,  , , , 0.098242189, 0.107823014,  , , , 0.098242189, 0.189604595
 , , , 0.099023439, 0.0817350224,  , , , 0.099023439, 0.0587044731,  , , , 0.099023439, 0.107245266,  , , , 0.099023439, 0.189598471
 , , , 0.099804689, 0.0810991526,  , , , 0.099804689, 0.0592040941,  , , , 0.099804689, 0.106677234,  , , , 0.099804689, 0.189592302
 , , , 0.100585939, 0.0804321244,  , , , 0.100585939, 0.0597038418,  , , , 0.100585939, 0.106118977,  , , , 0.100585939, 0.189586088
 , , , 0.101367189, 0.0797375664,  , , , 0.101367189, 0.0602027662,  , , , 0.101367189, 0.105570555,  , , , 0.101367189, 0.18957983
 , , , 0.102148439, 0.0790190771,  , , , 0.102148439, 0.0606999546,  , , , 0.102148439, 0.10503199,  , , , 0.102148439, 0.189573511
 , , , 0.102929689, 0.0782802701,  , , , 0.102929689, 0.0611945316,  , , , 0.102929689, 0.104503341,  , , , 0.102929689, 0.189567149
 , , , 0.103710939, 0.0775246993,  , , , 0.103710939, 0.0616856553,  , , , 0.103710939, 0.103984639,  , , , 0.103710939, 0.189560741
 , , , 0.104492189, 0.0767558813,  , , , 0.104492189, 0.0621725358,  , , , 0.104492189, 0.103475899,  , , , 0.104492189, 0.189554274
 , , , 0.105273439, 0.0759772733,  , , , 0.105273439, 0.0626544133,  , , , 0.105273439, 0.102977157,  , , , 0.105273439, 0.189547777
 , , , 0.106054689, 0.0751922652,  , , , 0.106054689, 0.0631305799,  , , , 0.106054689, 0.102488421,  , , , 0.106054689, 0.189541221
 , , , 0.106835939, 0.0744041577,  , , , 0.106835939, 0.063600339,  , , , 0.106835939, 0.102009706,  , , , 0.106835939, 0.189534619
 , , , 0.107617189, 0.0736161545,  , , , 0.107617189, 0.0640630722,  , , , 0.107617189, 0.101541027,  , , , 0.107617189, 0.189527959
 , , , 0.108398439, 0.072831355,  , , , 0.108398439, 0.0645181686,  , , , 0.108398439, 0.10108237,  , , , 0.108398439, 0.189521268
 , , , 0.109179689, 0.0720527545,  , , , 0.109179689, 0.0649650693,  , , , 0.109179689, 0.10063374,  , , , 0.109179689, 0.189514518
 , , , 0.109960939, 0.0712832138,  , , , 0.109960939, 0.0654032677,  , , , 0.109960939, 0.100195132,  , , , 0.109960939, 0.189507723
 , , , 0.110742189, 0.0705254599,  , , , 0.110742189, 0.0658322722,  , , , 0.110742189, 0.0997665226,  , , , 0.110742189, 0.189500868
 , , , 0.111523439, 0.0697820857,  , , , 0.111523439, 0.0662516505,  , , , 0.111523439, 0.0993479043,  , , , 0.111523439, 0.189493984
 , , , 0.112304689, 0.0690555498,  , , , 0.112304689, 0.0666609854,  , , , 0.112304689, 0.0989392474,  , , , 0.112304689, 0.18948704
 , , , 0.113085939, 0.0683481321,  , , , 0.113085939, 0.0670599192,  , , , 0.113085939, 0.0985405222,  , , , 0.113085939, 0.189480051
 , , , 0.113867189, 0.0676619858,  , , , 0.113867189, 0.0674481168,  , , , 0.113867189, 0.0981516987,  , , , 0.113867189, 0.189473018
 , , , 0.114648439, 0.0669990852,  , , , 0.114648439, 0.067825295,  , , , 0.114648439, 0.0977727473,  , , , 0.114648439, 0.189465925
 , , , 0.115429689, 0.0663612559,  , , , 0.115429689, 0.0681911781,  , , , 0.115429689, 0.0974036157,  , , , 0.115429689, 0.189458787
 , , , 0.116210939, 0.0657501444,  , , , 0.116210939, 0.0685455576,  , , , 0.116210939, 0.0970442593,  , , , 0.116210939, 0.189451605
 , , , 0.116992189, 0.0651672482,  , , , 0.116992189, 0.0688882321,  , , , 0.116992189, 0.0966946334,  , , , 0.116992189, 0.189444378
 , , , 0.117773439, 0.0646138862,  , , , 0.117773439, 0.0692190453,  , , , 0.117773439, 0.0963546857,  , , , 0.117773439, 0.189437106
 , , , 0.118554689, 0.0640912056,  , , , 0.118554689, 0.069537878,  , , , 0.118554689, 0.0960243568,  , , , 0.118554689, 0.189429775
 , , , 0.119335939, 0.0636002049,  , , , 0.119335939, 0.0698446184,  , , , 0.119335939, 0.0957035795,  , , , 0.119335939, 0.189422399
 , , , 0.120117189, 0.0631416962,  , , , 0.120117189, 0.0701392144,  , , , 0.120117189, 0.0953922868,  , , , 0.120117189, 0.189414978
 , , , 0.120898439, 0.06271635,  , , , 0.120898439, 0.0704216212,  , , , 0.120898439, 0.0950904191,  , , , 0.120898439, 0.189407513
 , , , 0.121679689, 0.0623246618,  , , , 0.121679689, 0.0706918314,  , , , 0.121679689, 0.0947978944,  , , , 0.121679689, 0.189399987
 , , , 0.122460939, 0.061966978,  , , , 0.122460939, 0.0709498525,  , , , 0.122460939, 0.0945146456,  , , , 0.122460939, 0.189392418
 , , , 0.123242189, 0.0616434924,  , , , 0.123242189, 0.0711957365,  , , , 0.123242189, 0.0942405835,  , , , 0.123242189, 0.189384803
 , , , 0.124023439, 0.0613542423,  , , , 0.124023439, 0.0714295432,  , , , 0.124023439, 0.0939756259,  , , , 0.124023439, 0.189377144
 , , , 0.124804689, 0.0610991344,  , , , 0.124804689, 0.0716513619,  , , , 0.124804689, 0.0937196836,  , , , 0.124804689, 0.189369425
 , , , 0.125585939, 0.0608779266,  , , , 0.125585939, 0.0718612969,  , , , 0.125585939, 0.0934726819,  , , , 0.125585939, 0.189361662
 , , , 0.126367189, 0.060690254,  , , , 0.126367189, 0.0720594898,  , , , 0.126367189, 0.0932345092,  , , , 0.126367189, 0.189353853
 , , , 0.127148439, 0.0605356209,  , , , 0.127148439, 0.0722460821,  , , , 0.127148439, 0.0930050761,  , , , 0.127148439, 0.189346001
 , , , 0.127929689, 0.060413409,  , , , 0.127929689, 0.0724212453,  , , , 0.127929689, 0.092784293,  , , , 0.127929689, 0.189338088
 , , , 0.128710939, 0.0603228994,  , , , 0.128710939, 0.0725851581,  , , , 0.128710939, 0.0925720409,  , , , 0.128710939, 0.189330146
 , , , 0.129492189, 0.0602632537,  , , , 0.129492189, 0.0727380291,  , , , 0.129492189, 0.0923682377,  , , , 0.129492189, 0.189322144
 , , , 0.130273439, 0.0602335483,  , , , 0.130273439, 0.0728800744,  , , , 0.130273439, 0.0921727568,  , , , 0.130273439, 0.189314097
 , , , 0.131054689, 0.0602327585,  , , , 0.131054689, 0.073011525,  , , , 0.131054689, 0.0919855013,  , , , 0.131054689, 0.189305991
 , , , 0.131835939, 0.0602597892,  , , , 0.131835939, 0.0731326118,  , , , 0.131835939, 0.0918063596,  , , , 0.131835939, 0.189297855
 , , , 0.132617189, 0.0603134558,  , , , 0.132617189, 0.0732436031,  , , , 0.132617189, 0.0916352198,  , , , 0.132617189, 0.189289659
 , , , 0.133398439, 0.0603925213,  , , , 0.133398439, 0.0733447522,  , , , 0.133398439, 0.0914719552,  , , , 0.133398439, 0.189281419
 , , , 0.134179689, 0.0604956746,  , , , 0.134179689, 0.0734363347,  , , , 0.134179689, 0.0913164616,  , , , 0.134179689, 0.189273119
 , , , 0.13496094, 0.0606215671,  , , , 0.13496094, 0.0735186338,  , , , 0.13496094, 0.0911686197,  , , , 0.13496094, 0.189264789
 , , , 0.13574219, 0.060768798,  , , , 0.13574219, 0.0735919327,  , , , 0.13574219, 0.0910283029,  , , , 0.13574219, 0.1892564
 , , , 0.13652344, 0.0609359294,  , , , 0.13652344, 0.0736565366,  , , , 0.13652344, 0.090895392,  , , , 0.13652344, 0.189247966
 , , , 0.13730469, 0.061121501,  , , , 0.13730469, 0.0737127364,  , , , 0.13730469, 0.0907697603,  , , , 0.13730469, 0.189239487
 , , , 0.13808594, 0.0613240227,  , , , 0.13808594, 0.0737608373,  , , , 0.13808594, 0.0906512886,  , , , 0.13808594, 0.189230949
 , , , 0.13886719, 0.0615420043,  , , , 0.13886719, 0.0738011524,  , , , 0.13886719, 0.0905398428,  , , , 0.13886719, 0.189222366
 , , , 0.13964844, 0.0617739335,  , , , 0.13964844, 0.0738339871,  , , , 0.13964844, 0.0904353037,  , , , 0.13964844, 0.189213753
 , , , 0.14042969, 0.0620183051,  , , , 0.14042969, 0.0738596544,  , , , 0.14042969, 0.0903375372,  , , , 0.14042969, 0.189205065
 , , , 0.14121094, 0.0622736178,  , , , 0.14121094, 0.0738784671,  , , , 0.14121094, 0.0902464166,  , , , 0.14121094, 0.189196348
 , , , 0.14199219, 0.0625383854,  , , , 0.14199219, 0.0738907382,  , , , 0.14199219, 0.0901618078,  , , , 0.14199219, 0.189187571
 , , , 0.14277344, 0.0628111437,  , , , 0.14277344, 0.0738967806,  , , , 0.14277344, 0.0900835842,  , , , 0.14277344, 0.189178765
 , , , 0.14355469, 0.0630904436,  , , , 0.14355469, 0.0738968998,  , , , 0.14355469, 0.0900116041,  , , , 0.14355469, 0.189169899
 , , , 0.14433594, 0.0633748621,  , , , 0.14433594, 0.0738914162,  , , , 0.14433594, 0.0899457484,  , , , 0.14433594, 0.189160973
 , , , 0.14511719, 0.0636630356,  , , , 0.14511719, 0.0738806203,  , , , 0.14511719, 0.0898858756,  , , , 0.14511719, 0.189152017
 , , , 0.14589844, 0.0639536083,  , , , 0.14589844, 0.0738648176,  , , , 0.14589844, 0.0898318514,  , , , 0.14589844, 0.189143002
 , , , 0.14667969, 0.0642452911,  , , , 0.14667969, 0.0738443211,  , , , 0.14667969, 0.0897835493,  , , , 0.14667969, 0.189133942
 , , , 0.14746094, 0.0645368248,  , , , 0.14746094, 0.0738194063,  , , , 0.14746094, 0.0897408202,  , , , 0.14746094, 0.189124838
 , , , 0.14824219, 0.0648270175,  , , , 0.14824219, 0.0737903789,  , , , 0.14824219, 0.0897035524,  , , , 0.14824219, 0.189115688
 , , , 0.14902344, 0.0651147217,  , , , 0.14902344, 0.0737575144,  , , , 0.14902344, 0.0896715894,  , , , 0.14902344, 0.189106479
 , , , 0.14980469, 0.0653988495,  , , , 0.14980469, 0.0737210885,  , , , 0.14980469, 0.0896448046,  , , , 0.14980469, 0.189097226
 , , , 0.15058594, 0.0656783655,  , , , 0.15058594, 0.0736813769,  , , , 0.15058594, 0.0896230713,  , , , 0.15058594, 0.189087927
 , , , 0.15136719, 0.0659523159,  , , , 0.15136719, 0.0736386478,  , , , 0.15136719, 0.0896062478,  , , , 0.15136719, 0.189078584
 , , , 0.15214844, 0.0662197918,  , , , 0.15214844, 0.073593162,  , , , 0.15214844, 0.0895942003,  , , , 0.15214844, 0.189069182
