,Time,Temperature(K),Field(Oe),Field(T),Long Moment(emu),Long err,Susceptibility(m^3/mol),err
0,3948960693.055,1.89516091346741,99.820068359375,0.0099820068359375,-0.0080117509147495,1.06611064647845e-06,-3.3019489157455044e-05,7.69151136633943e-08
1,3948960695.9315,1.89576029777527,99.8290748596191,0.00998290748596191,-0.0080088716524505,9.58901092050892e-07,-3.300464469488277e-05,7.685664318629326e-08
2,3948960696.1805,1.89576029777527,99.8020553588867,0.009980205535888671,-0.0080116438204095,1.008787707468e-06,-3.302500729851184e-05,7.691483406351648e-08
3,3948960696.943,1.89555770158768,99.8020553588867,0.009980205535888671,-0.0080111699510724,8.1133731163879e-07,-3.302305394927827e-05,7.68705880753769e-08
4,3948960697.9355,1.89545071125031,99.8380813598633,0.00998380813598633,-0.0080113536785546,9.20696690187861e-07,-3.301189484361556e-05,7.686553246043134e-08
5,3948960698.9225,1.89700317382813,99.8470840454102,0.00998470840454102,-0.0080118599414253,1.06964718781604e-06,-3.3011004273308323e-05,7.689617945942624e-08
6,3948960699.944,1.90162694454193,99.8470840454102,0.00998470840454102,-0.0080113771700736,1.20930865630752e-06,-3.300901512630992e-05,7.69266893024842e-08
7,3948960700.947,1.90644025802612,99.8380813598633,0.00998380813598633,-0.0080114624003561,9.54557360104547e-07,-3.30123428468897e-05,7.687358595517914e-08
8,3948960701.9505,1.91210794448853,99.8380813598633,0.00998380813598633,-0.0080113242618215,9.57658738771364e-07,-3.301177362788366e-05,7.687291889094693e-08
9,3948960702.9695,1.91823178529739,99.8470840454102,0.00998470840454102,-0.0080107219902007,1.0982131804639e-06,-3.300631561012489e-05,7.689213009666329e-08
10,3948960703.9465,1.92362606525421,99.8470840454102,0.00998470840454102,-0.0080117131716937,1.04533834909419e-06,-3.301039954278725e-05,7.688909982366501e-08
11,3948960704.922,1.92845606803894,99.8020553588867,0.009980205535888671,-0.0080115263222686,9.52258766464851e-07,-3.30245229563409e-05,7.690146311153339e-08
12,3948960705.9405,1.93260610103607,99.8110580444336,0.00998110580444336,-0.0080114466408661,6.3563729684388e-07,-3.302121580715519e-05,7.683820399006474e-08
13,3948960706.9735,1.93623507022858,99.8650932312012,0.00998650932312012,-0.0080099462830974,9.43625263024222e-07,-3.299716786729056e-05,7.683599552118048e-08
14,3948960707.98,1.93909454345703,99.8470840454102,0.00998470840454102,-0.008011855311217,9.0407161433567e-07,-3.301098519561261e-05,7.686005240803516e-08
15,3948960708.9345,1.94190710783005,99.8110618591309,0.00998110618591309,-0.0080118483236401,8.03753600277013e-07,-3.302287018280741e-05,7.68687944841987e-08
16,3948960709.923,1.94455951452255,99.8470840454102,0.00998470840454102,-0.0080097519011156,1.07667507970267e-06,-3.300231858382041e-05,7.687767889613185e-08
17,3948960710.9345,1.94805282354355,99.8740997314453,0.00998740997314453,-0.0080101704230522,9.09030372888075e-07,-3.2995115497662315e-05,7.68241335289038e-08
18,3948960711.9415,1.95081520080566,99.856086730957,0.0099856086730957,-0.0080101254445435,9.84307618914268e-07,-3.300088216689223e-05,7.685330178946111e-08
19,3948960712.952,1.95386964082718,99.838077545166,0.0099838077545166,-0.0080107632122159,1.11373084416133e-06,-3.3009463006360914e-05,7.690325031715033e-08
20,3948960713.956,1.95700681209564,99.820068359375,0.0099820068359375,-0.0080107635311179,1.08088718193563e-06,-3.30154197719406e-05,7.690916884939752e-08
21,3948960714.9685,1.96034413576126,99.838077545166,0.0099838077545166,-0.0080109159491489,9.55470807067426e-07,-3.301009238011795e-05,7.686855187177124e-08
22,3948960715.9585,1.96354651451111,99.8650932312012,0.00998650932312012,-0.0080114201027727,9.08890878106606e-07,-3.300323930316706e-05,7.684299210519995e-08
23,3948960716.9395,1.96691274642944,99.8831062316895,0.009988310623168949,-0.0080102221388044,9.82782789240073e-07,-3.299235332057512e-05,7.683310587679478e-08
24,3948960717.9225,1.97042602300644,99.8921127319336,0.00998921127319336,-0.0080099623066353,1.11620812706756e-06,-3.2988308559513555e-05,7.685460304075087e-08
25,3948960718.914,1.97348743677139,99.8470840454102,0.00998470840454102,-0.0080110565174893,1.12719703466776e-06,-3.30076939519624e-05,7.690244977361994e-08
