[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3949066880.3983,02/18/2025,7:04 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 L2,MOTOR_HW_VERSION
INFO,MMC884,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM641,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,VPA645,PREAMP_SERIAL_NUMBER
INFO,740,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,NbTi,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,4.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3949069056.937,8.00125932693481,944.710693359375,-0.015422428966241,1.5685648906437E-5,1,0.999253354069792,40.0298881530762,1.99885179199445,17.8900007158518,-0.168504087023085,-0.0310219278171388,2.5,-0.000109241419617911,-0.0153191402732766,-0.000183438788884338,8.00140953063965,8.00140953063965,894.887573242188,994.533813476563,55.639444512929,20.6317735597092,6.4955883026123,0,0,0,40,8.01947402954102,1,6,1,2.24212646484375,32.7468223571777,,,,,,,,,,,,,,,,
,3949069057.91,8.00079917907715,1044.32849121094,-0.0151122557241544,1.25384261335505E-5,1,0.999253354069792,40.0298881530762,1.99874135690931,17.8900007158518,-0.165106450734659,-0.030401328312098,2.5,-0.000107396599827816,-0.0150111132704087,-0.000180182323349592,8.00110912322998,8.00110912322998,994.533813476563,1094.12316894531,55.8919105246405,20.6230630459182,6.49592351913452,0,0,0,40,8.01916980743408,1,6,1,2.24212646484375,32.7468223571777,,,,,,,,,,,,,,,,
,3949069059.4235,7.99997878074646,1193.79730224609,-0.0148009331486884,2.09565213573848E-6,1,0.999253354069792,40.0298881530762,1.99883601838575,17.8900007158518,-0.161714225411036,-0.0297729829270917,2.5,-0.000104729865826073,-0.0147019828749693,-0.000176143782517753,8.00048923492432,8.00048923492432,1094.12316894531,1293.47143554688,55.639444512929,20.6291469535121,6.49638843536377,0,0,0,40,8.01791858673096,1,6,1,2.2259521484375,32.7468223571777,,,,,,,,,,,,,,,,
,3949069060.944,7.99922585487366,1343.36773681641,-0.0148007376238896,2.89066617131806E-6,1,0.999253354069792,40.0298881530762,1.99886972880035,17.8900007158518,-0.161715609805821,-0.0297748409363371,2.5,-0.000104743254662201,-0.0147018978606927,-0.000176283749655214,7.9994683265686,7.9994683265686,1293.47143554688,1393.26403808594,55.3580582460059,20.6325475503004,6.49670267105103,0,0,0,40,8.01751708984375,1,6,1,2.24395751953125,32.7468223571777,,,,,,,,,,,,,,,,
,3949069061.9475,7.99853563308716,1443.20050048828,-0.0148791807418498,5.27476402539587E-6,1,0.999253354069792,40.0298881530762,1.99878582132881,17.8900007158518,-0.162569899388646,-0.0299154883345806,2.5,-0.000103738176793399,-0.0147798995515674,-0.000175755311521946,7.99898338317871,7.99898338317871,1393.26403808594,1493.13696289062,55.8395414138521,20.6315416886042,6.49658489227295,0,0,0,40,8.01718044281006,1,6,1,2.24456787109375,32.7468223571777,,,,,,,,,,,,,,,,
,3949069062.929,7.99797987937927,1543.01312255859,-0.0150040610132503,6.3009996183088E-6,1,0.999253354069792,40.0298881530762,1.99886217839798,17.8900007158518,-0.163937800267179,-0.0301866279781274,2.5,-0.000106239780727587,-0.0149040151101119,-0.000178939470118045,7.99808788299561,7.99808788299561,1493.13696289062,1592.88928222656,55.9059798379867,20.6305277703089,6.49679088592529,0,0,0,40,8.01711940765381,1,6,1,2.2430419921875,33.2355842590332,,,,,,,,,,,,,,,,
,3949069063.9255,7.99768877029419,1642.75463867187,-0.0151528861275489,7.73282172096937E-6,1,0.999253354069792,40.0298881530762,1.99878748311594,17.8999993950129,-0.165556858757015,-0.0304966496437112,2.5,-0.000108256321222686,-0.0150519214444943,-0.00018176155043116,7.99787187576294,7.99787187576294,1592.88928222656,1692.61999511719,55.7222971359674,20.6249076655021,6.49691724777222,0,0,0,40,8.01682662963867,1,6,1,2.24502563476562,33.2355842590332,,,,,,,,,,,,,,,,
,3949069064.956,7.9973509311676,1742.56225585938,-0.0153186066143002,8.41045403223692E-6,1,0.999253354069792,40.0298881530762,1.99877884861524,17.8900007158518,-0.167369202468793,-0.0308216254326029,2.5,-0.000108562549971501,-0.015216622258428,-0.000182970359544324,7.99750566482544,7.99750566482544,1692.61999511719,1792.50451660156,55.822345586429,20.6308556358297,6.49708080291748,0,0,0,40,8.0171422958374,1,6,1,2.24090576171875,33.2355842590332,,,,,,,,,,,,,,,,
,3949069065.9505,7.99724674224854,1842.39910888672,-0.0154844119586425,7.89971079204205E-6,1,0.999253354069792,40.0298881530762,1.99867528411447,17.8900007158518,-0.169172448016461,-0.0311590617655258,2.5,-0.000110117859501742,-0.0153814040065094,-0.000185423382842225,7.99719619750977,7.99719619750977,1792.50451660156,1892.29370117187,55.6183405429097,20.6248895327642,6.49770069122314,0,0,0,40,8.01719379425049,1,6,1,2.257080078125,33.2355842590332,,,,,,,,,,,,,,,,
,3949069066.9415,7.99746584892273,1942.36096191406,-0.0156369384580855,6.54283557138124E-6,1,0.999253354069792,40.0298881530762,1.9988034247302,17.8900007158518,-0.170857381452565,-0.0314272851187434,2.5,-0.000107377720747154,-0.0155330186600744,-0.000183547144091648,7.9972972869873,7.9972972869873,1892.29370117187,1992.42822265625,55.9223940368905,20.6284982329881,6.497718334198,0,0,0,40,8.01762104034424,1,6,1,2.25906372070313,33.2355842590332,,,,,,,,,,,,,,,,
