RUN	f_order_err	f_order	field_err	field	lambda_order_err	lambda_order	lambda_tail_err	lambda_tail	lambda_unordered_err	lambda_unordered
2460	0.005294409149699888	1.0	7.476845486684183	651.2688503177941	0.6415312560426494	32.811230299912395	0.12278882077674284	5.187948417597747	0.0	2.445456713592504
2461	0.004352826009889672	0.9999290592503187	8.206580710518526	625.1508372861276	0.6808422351486892	30.129832071667863	0.157814382383639	5.58605497381739	1.5015349682065264	0.6899929685155795
2462	0.0029008304318305835	0.9999600098938752	8.43227409429086	640.2081574573522	0.6584252156931486	30.64582090638	0.15606968178798317	5.451150697290338	0.6187993836146997	0.002996914836928073
2463	0.011629497251707664	0.9999008974510265	9.120798309687727	643.6798329279147	0.8139599826977758	32.830107728867276	0.16181959813108523	5.610383414698086	88.55761391721452	9.981668589834701
2464	0.01123001470393426	0.9998825060240416	7.847515433108563	574.5839991718236	0.7077418756538946	29.78690392655221	0.16885756251264109	5.832647354203008	302.4458846242139	9.887883549354253
2465	0.013654702926259208	0.9998142261685661	6.69234603638184	523.8514965237916	0.5550119455243429	26.627886432717077	0.13379439085158965	5.2079048600715385	47.29268552000472	9.989636524526867
2466	0.013602722452649032	0.9999730848645872	6.651793848850172	434.0005419958426	0.7886199273369218	27.0610619167234	0.18157059356011576	6.55129548167934	106.23701281748993	9.290488279647729
2467	0.00517026177854816	0.8946067550855958	91.36551260661408	38.98933986454695	0.8425086064255971	32.644907109455175	0.4861749914092296	10.0	0.3150339988733372	3.826209414848312
2468	0.011041564292372852	0.11034888760199736	115.66720439394932	527.4407958314389	7.74014220157704	28.19440553293453	0.013993754222501462	1.055085396705761e-06	0.029042814944490312	2.4537634014328207
2469	0.012203984727979292	0.11831879800702616	181.72662299403743	799.9428389350674	13.368563236563507	36.223203925252925	0.013309372904019559	3.9734413152917996e-07	0.024034129953660485	2.008142347183819
2470	0.009853731577911725	0.2093588006551564	83.43871278799703	518.1823563257738	7.732268445251469	33.6006456078798	2.0657312350432555	9.980180200827101	0.01719894586419979	1.3906698863733649
2471	0.008040518032022801	0.10822855382269128	184.73704593164723	465.58213276137786	170.26118363530568	35.823569027092375	2.2809310894148087	9.996312256464096	0.017946027152783258	1.5709596409595115
2472	0.012578980802933447	0.17866205450541636	1471.912149188287	13.2570513011293	6.782730524296905	36.897169464997184	0.017399588862281518	3.0602920281444734e-07	0.023132790454300188	1.8720414254787547
