2.000000000000000111e-01,5.887297280639746189e+08,1.890695633255467713e+08
2.674467745120200357e-01,8.454792040785568953e+08,-3.271609468837312460e+08
3.576388859844180090e-01,1.132192063142228127e+09,-1.008431593639821857e+08
4.782468324830250195e-01,1.249326117418622494e+09,-2.433165788427783549e+08
6.395278638408790073e-01,1.464715367129745245e+09,-9.105200988986006379e+07
8.551983219740290076e-01,1.551410694758012056e+09,-1.454087414336425662e+08
1.143600163899999966e+00,1.687217100146199465e+09,-5.354684893798555434e+07
1.529260875832999966e+00,1.947837638595198870e+09,-1.628079421409428418e+08
2.044979443143999820e+00,2.198450485398598194e+09,-8.501986798111295700e+07
2.734615780062000123e+00,2.281961435284818649e+09,-1.194565985123427808e+08
3.656820849535999951e+00,2.100214603484888792e+09,-2.142754522506109476e+08
4.890024705884000511e+00,2.457601542671185493e+09,-1.171389938333729953e+08
6.539106674362999527e+00,2.410191005754187584e+09,-1.296068834807586670e+08
8.744314941242000927e+00,2.492310401527671337e+09,-1.595271150075887442e+08
1.169319413176300060e+01,2.322182497822069645e+09,-3.480310600121650100e+08
1.563653527141399913e+01,2.479938696214879513e+09,-2.831553080798961520e+08
2.090970461441599682e+01,2.408632994327261925e+09,-1.437305964967555702e+08
2.796116527562299936e+01,2.365256629906646729e+09,-1.655396655044125319e+08
3.739061732281400197e+01,2.472124124010116100e+09,-3.382683476053492427e+08
5.000000000000000000e+01,2.406435697298846245e+09,-3.095711881673838496e+08
