Asy,Asy_err,B1_0343,B1_0343_err,CHISQ,CHISQ_err,CHISQred,CHISQred_err,L1_0343,L1_0343_err,NDF,NDF_err,RUN,dataB,dataB_err,dataSpinRot,dataSpinRot_err,dataT,dataT_err
0.28189,0.00044,1.51,0.22,4986.8,0.0,1.00743,0.0,0.0175,0.0057,4950.0,0.0,353,3000.0,0.0,6.45,0.0,300.0,0.003
0.30542,0.00036,1.0,0.77,4913.9,0.0,0.992707,0.0,0.00246,0.00049,4950.0,0.0,354,10000.0,0.0,6.45,0.0,300.0,0.003
0.32343,0.00036,1.0,0.2,4849.3,0.0,0.979657,0.0,0.00054,0.00042,4950.0,0.0,355,15000.0,0.0,6.45,0.0,300.001,0.004
