Capacitance(pF),Loss (nSiemens),Timestamp (24hr)
1.116475,0.000258,16:26:40
1.116469,0.000258,16:26:41
1.116464,0.000264,16:26:42
1.116458,0.000264,16:26:43
1.116453,0.00027,16:26:44
1.116446,0.000264,16:26:45
1.116442,0.000258,16:26:46
1.116436,0.000264,16:26:47
1.116431,0.00027,16:26:48
1.116424,0.000264,16:26:49
1.116419,0.000264,16:26:50
1.116413,0.000264,16:26:51
1.116409,0.00027,16:26:52
1.116404,0.000264,16:26:53
1.116398,0.000264,16:26:54
1.116392,0.000264,16:26:55
1.116387,0.00027,16:26:55
1.116381,0.00027,16:26:56
1.116376,0.000264,16:26:57
1.11637,0.000264,16:26:58
1.116364,0.000264,16:26:59
1.116359,0.00027,16:27:00
1.116353,0.000264,16:27:01
1.116347,0.000264,16:27:02
1.116342,0.000264,16:27:03
1.116337,0.000264,16:27:04
1.11633,0.000264,16:27:05
1.116324,0.00027,16:27:06
1.116318,0.000264,16:27:07
1.116314,0.000264,16:27:08
1.116308,0.000258,16:27:09
1.116303,0.000264,16:27:10
1.116296,0.000258,16:27:11
1.116291,0.000264,16:27:12
1.116287,0.00027,16:27:12
1.116281,0.000264,16:27:13
1.116276,0.000264,16:27:14
1.116271,0.000264,16:27:15
1.116266,0.000264,16:27:16
1.11626,0.000264,16:27:17
1.116255,0.000264,16:27:18
1.116248,0.00027,16:27:19
1.116243,0.000264,16:27:20
1.116237,0.000264,16:27:21
1.116232,0.00027,16:27:22
1.116226,0.000264,16:27:23
1.116221,0.000264,16:27:24
1.116216,0.000264,16:27:25
1.116211,0.000264,16:27:26
1.116205,0.000264,16:27:27
1.116199,0.000264,16:27:28
1.116193,0.00027,16:27:29
1.116189,0.00027,16:27:29
1.116183,0.000258,16:27:30
1.116179,0.000264,16:27:31
1.116173,0.000258,16:27:32
1.116168,0.000264,16:27:33
1.116161,0.00027,16:27:34
1.116157,0.000264,16:27:35
1.116151,0.000264,16:27:36
1.116145,0.00027,16:27:37
1.116139,0.00027,16:27:38
1.116134,0.00027,16:27:39
1.116129,0.000264,16:27:40
1.116123,0.00027,16:27:41
1.116117,0.000264,16:27:42
1.116111,0.000264,16:27:43
1.116107,0.000264,16:27:44
1.116101,0.00027,16:27:45
1.116097,0.000258,16:27:45
1.11609,0.000264,16:27:46
1.116085,0.00027,16:27:47
1.11608,0.000264,16:27:48
1.116075,0.000264,16:27:49
1.116067,0.000258,16:27:50
1.116063,0.00027,16:27:51
1.116058,0.000264,16:27:52
1.116053,0.000264,16:27:53
1.116047,0.00027,16:27:54
1.116041,0.000264,16:27:55
1.116035,0.000264,16:27:56
1.116029,0.000264,16:27:57
1.116024,0.000258,16:27:58
1.116018,0.000258,16:27:59
1.116012,0.000264,16:28:00
1.116007,0.000264,16:28:01
1.116001,0.000264,16:28:01
1.115996,0.000264,16:28:02
1.11599,0.000264,16:28:03
1.115984,0.000264,16:28:04
1.11598,0.000264,16:28:05
1.115973,0.000258,16:28:06
1.115968,0.000264,16:28:07
1.115963,0.000258,16:28:08
1.115957,0.000258,16:28:09
1.115953,0.000264,16:28:10
1.115946,0.000251,16:28:11
1.11594,0.000264,16:28:12
1.115934,0.000264,16:28:13
1.115928,0.00027,16:28:14
1.115922,0.000264,16:28:15
1.115918,0.000264,16:28:16
1.115914,0.000264,16:28:17
1.115906,0.000264,16:28:17
1.1159,0.000264,16:28:18
1.115895,0.000264,16:28:19
1.115888,0.000264,16:28:20
1.115884,0.000258,16:28:21
1.115878,0.000264,16:28:22
1.115873,0.000264,16:28:23
1.115867,0.00027,16:28:24
1.115863,0.000258,16:28:25
1.115856,0.000264,16:28:26
1.115851,0.000258,16:28:27
1.115844,0.000258,16:28:28
1.115839,0.000264,16:28:29
1.115833,0.000264,16:28:30
1.115827,0.000264,16:28:31
1.115823,0.00027,16:28:32
1.115816,0.00027,16:28:33
1.11581,0.000264,16:28:33
1.115805,0.000258,16:28:34
1.115799,0.000264,16:28:35
1.115793,0.000264,16:28:36
1.115787,0.000264,16:28:37
1.115783,0.000264,16:28:38
1.115778,0.000264,16:28:39
1.115772,0.000264,16:28:40
1.115765,0.000264,16:28:41
1.115759,0.000264,16:28:42
1.115753,0.000264,16:28:43
1.115749,0.000264,16:28:44
1.115742,0.000264,16:28:45
1.115736,0.000264,16:28:46
1.115731,0.000258,16:28:47
1.115724,0.000264,16:28:48
1.11572,0.000264,16:28:49
1.115714,0.000258,16:28:50
1.115708,0.000258,16:28:50
1.115702,0.000258,16:28:51
1.1157,0.000289,16:28:52
1.115691,0.000264,16:28:53
1.115685,0.000258,16:28:54
1.115679,0.000258,16:28:55
1.115673,0.000264,16:28:56
1.115667,0.00027,16:28:57
1.115663,0.000264,16:28:58
1.115657,0.000264,16:28:59
1.115651,0.00027,16:29:00
1.115645,0.00027,16:29:01
1.115639,0.000264,16:29:02
1.115633,0.000258,16:29:03
1.115626,0.000258,16:29:04
1.115621,0.000258,16:29:05
1.115616,0.000264,16:29:06
1.115609,0.000264,16:29:07
1.115603,0.000264,16:29:08
1.115598,0.000264,16:29:08
1.115592,0.000258,16:29:09
1.115587,0.000264,16:29:10
1.11558,0.000264,16:29:11
1.115574,0.000264,16:29:12
1.11557,0.000258,16:29:13
1.115563,0.000264,16:29:14
1.115559,0.000264,16:29:15
1.115553,0.000258,16:29:16
1.115545,0.000264,16:29:17
1.115538,0.000264,16:29:18
1.115533,0.000258,16:29:19
