Capacitance(pF),Loss (nSiemens),Timestamp (24hr)
1.19119,0.00063,14:34:12
1.19112,0.00075,14:34:15
1.19108,0.00082,14:34:17
NaN,NaN,14:34:19
1.19099,0.00082,14:34:21
1.19092,0.00075,14:34:23
NaN,NaN,14:34:25
1.1908,0.00082,14:34:28
1.1907,0.00075,14:34:31
NaN,NaN,14:34:33
1.1906,0.00075,14:34:35
1.19053,0.00069,14:34:38
1.19048,0.00082,14:34:40
1.19042,0.00088,14:34:42
1.19038,0.00075,14:34:44
1.19034,0.00069,14:34:46
1.19028,0.00082,14:34:47
1.19025,0.00075,14:34:49
NaN,NaN,14:34:52
NaN,NaN,14:34:54
1.19008,0.00082,14:34:57
1.19,0.00063,14:34:59
1.18991,0.00069,14:35:02
1.18985,0.00088,14:35:05
1.18979,0.00082,14:35:07
NaN,NaN,14:35:09
NaN,NaN,14:35:12
NaN,NaN,14:35:14
NaN,NaN,14:35:17
NaN,NaN,14:35:19
NaN,NaN,14:35:22
NaN,NaN,14:35:24
NaN,NaN,14:35:26
NaN,NaN,14:35:29
NaN,NaN,14:35:31
NaN,NaN,14:35:34
NaN,NaN,14:35:36
NaN,NaN,14:35:38
NaN,NaN,14:35:41
NaN,NaN,14:35:43
NaN,NaN,14:35:46
NaN,NaN,14:35:48
NaN,NaN,14:35:51
NaN,NaN,14:35:53
NaN,NaN,14:35:55
NaN,NaN,14:35:58
NaN,NaN,14:36:00
NaN,NaN,14:36:03
NaN,NaN,14:36:05
NaN,NaN,14:36:08
NaN,NaN,14:36:10
NaN,NaN,14:36:12
NaN,NaN,14:36:15
NaN,NaN,14:36:17
NaN,NaN,14:36:20
NaN,NaN,14:36:22
NaN,NaN,14:36:25
NaN,NaN,14:36:27
NaN,NaN,14:36:29
NaN,NaN,14:36:32
NaN,NaN,14:36:34
NaN,NaN,14:36:37
NaN,NaN,14:36:39
NaN,NaN,14:36:42
NaN,NaN,14:36:44
NaN,NaN,14:36:46
NaN,NaN,14:36:49
NaN,NaN,14:36:51
NaN,NaN,14:36:54
NaN,NaN,14:36:56
NaN,NaN,14:36:59
NaN,NaN,14:37:01
NaN,NaN,14:37:03
NaN,NaN,14:37:06
1.18675,0.00069,14:37:08
1.18666,0.00069,14:37:10
NaN,NaN,14:37:12
1.18652,0.00088,14:37:15
1.18648,0.00082,14:37:18
1.18645,0.00094,14:37:20
1.18637,0.00082,14:37:22
1.18632,0.00069,14:37:24
1.18624,0.00088,14:37:27
1.18622,0.00082,14:37:29
NaN,NaN,14:37:31
1.18606,0.00082,14:37:33
1.18605,0.00069,14:37:35
1.186,0.00082,14:37:37
NaN,NaN,14:37:40
1.18587,0.00075,14:37:43
1.18583,0.00069,14:37:44
1.18577,0.00082,14:37:46
1.18575,0.00088,14:37:48
NaN,NaN,14:37:51
1.18563,0.00088,14:37:53
1.18557,0.00082,14:37:55
1.18553,0.00075,14:37:57
1.18546,0.00075,14:37:59
NaN,NaN,14:38:01
1.18534,0.00082,14:38:04
1.1853,0.00082,14:38:06
1.18524,0.00069,14:38:09
1.18518,0.00088,14:38:11
1.18512,0.00075,14:38:14
1.18504,0.00088,14:38:17
1.18498,0.00063,14:38:19
1.18495,0.00082,14:38:21
1.18484,0.00075,14:38:24
1.18483,0.00088,14:38:26
1.18475,0.00088,14:38:28
1.18474,0.00082,14:38:30
1.18465,0.00082,14:38:33
1.18457,0.00075,14:38:36
1.18452,0.00075,14:38:39
1.18444,0.00082,14:38:41
1.18437,0.00082,14:38:44
1.184358,0.00079,14:38:46
1.1843,0.00082,14:38:48
1.18424,0.00075,14:38:50
1.18419,0.00082,14:38:53
NaN,NaN,14:38:55
NaN,NaN,14:38:57
NaN,NaN,14:39:00
NaN,NaN,14:39:02
NaN,NaN,14:39:05
NaN,NaN,14:39:07
NaN,NaN,14:39:10
NaN,NaN,14:39:12
NaN,NaN,14:39:14
NaN,NaN,14:39:17
NaN,NaN,14:39:19
NaN,NaN,14:39:22
NaN,NaN,14:39:24
NaN,NaN,14:39:27
NaN,NaN,14:39:29
NaN,NaN,14:39:32
NaN,NaN,14:39:34
NaN,NaN,14:39:36
NaN,NaN,14:39:39
NaN,NaN,14:39:41
NaN,NaN,14:39:44
NaN,NaN,14:39:46
NaN,NaN,14:39:48
NaN,NaN,14:39:51
NaN,NaN,14:39:53
NaN,NaN,14:39:56
NaN,NaN,14:39:58
NaN,NaN,14:40:01
1.18255,0.00088,14:40:03
1.1825,0.00075,14:40:06
1.18246,0.00088,14:40:08
1.1824,0.00075,14:40:11
1.18232,0.00075,14:40:13
1.18226,0.00082,14:40:16
1.18222,0.00075,14:40:18
1.1822,0.00088,14:40:19
1.18217,0.00069,14:40:21
1.18209,0.00088,14:40:24
NaN,NaN,14:40:27
1.18199,0.00088,14:40:29
1.18196,0.00082,14:40:30
1.18186,0.00082,14:40:33
1.18186,0.00088,14:40:35
1.181818,0.00092,14:40:37
1.181752,0.00079,14:40:39
1.18173,0.00082,14:40:41
NaN,NaN,14:40:43
1.1816,0.00094,14:40:46
NaN,NaN,14:40:49
NaN,NaN,14:40:51
1.18145,0.00075,14:40:53
1.18141,0.00082,14:40:56
1.18133,0.00075,14:40:58
1.18128,0.00082,14:41:00
NaN,NaN,14:41:03
1.18119,0.00082,14:41:05
1.181148,0.00092,14:41:07
1.1811,0.00075,14:41:09
1.18106,0.00088,14:41:11
NaN,NaN,14:41:14
NaN,NaN,14:41:16
NaN,NaN,14:41:19
NaN,NaN,14:41:21
NaN,NaN,14:41:23
NaN,NaN,14:41:26
NaN,NaN,14:41:28
NaN,NaN,14:41:31
NaN,NaN,14:41:33
NaN,NaN,14:41:36
NaN,NaN,14:41:38
NaN,NaN,14:41:40
NaN,NaN,14:41:43
NaN,NaN,14:41:45
NaN,NaN,14:41:48
NaN,NaN,14:41:50
NaN,NaN,14:41:52
NaN,NaN,14:41:55
NaN,NaN,14:41:57
NaN,NaN,14:42:00
NaN,NaN,14:42:02
NaN,NaN,14:42:05
NaN,NaN,14:42:07
NaN,NaN,14:42:10
NaN,NaN,14:42:12
NaN,NaN,14:42:15
NaN,NaN,14:42:17
NaN,NaN,14:42:19
NaN,NaN,14:42:22
NaN,NaN,14:42:24
NaN,NaN,14:42:27
NaN,NaN,14:42:29
NaN,NaN,14:42:32
NaN,NaN,14:42:34
NaN,NaN,14:42:36
NaN,NaN,14:42:39
NaN,NaN,14:42:41
NaN,NaN,14:42:44
NaN,NaN,14:42:46
NaN,NaN,14:42:49
NaN,NaN,14:42:51
NaN,NaN,14:42:54
NaN,NaN,14:42:56
NaN,NaN,14:42:58
NaN,NaN,14:43:01
NaN,NaN,14:43:03
NaN,NaN,14:43:06
1.17862,0.00101,14:43:07
1.17856,0.00094,14:43:10
1.17852,0.00082,14:43:12
1.1785,0.00082,14:43:14
1.17846,0.00094,14:43:16
1.17841,0.00094,14:43:18
NaN,NaN,14:43:20
1.17834,0.00094,14:43:22
1.1783,0.00088,14:43:24
1.17826,0.00088,14:43:26
1.17823,0.00094,14:43:28
NaN,NaN,14:43:30
1.17812,0.00101,14:43:32
NaN,NaN,14:43:34
NaN,NaN,14:43:37
1.17797,0.00088,14:43:39
1.17796,0.00088,14:43:41
1.17792,0.00088,14:43:43
1.17787,0.00094,14:43:45
NaN,NaN,14:43:47
1.17779,0.00094,14:43:49
1.17776,0.00082,14:43:51
1.17771,0.00082,14:43:54
1.17766,0.00094,14:43:56
1.1776,0.00094,14:43:58
1.17758,0.00082,14:44:01
1.17752,0.00088,14:44:02
1.17749,0.00075,14:44:04
1.17747,0.00094,14:44:06
1.17739,0.00088,14:44:09
NaN,NaN,14:44:11
NaN,NaN,14:44:14
1.17726,0.00094,14:44:16
NaN,NaN,14:44:18
NaN,NaN,14:44:20
1.17715,0.00082,14:44:23
NaN,NaN,14:44:25
1.17702,0.00094,14:44:28
1.17702,0.00082,14:44:30
1.17696,0.00088,14:44:32
1.17692,0.00101,14:44:34
1.17689,0.00088,14:44:36
1.17684,0.00082,14:44:38
1.17681,0.00088,14:44:40
1.17676,0.00082,14:44:42
1.17673,0.00107,14:44:44
1.17667,0.00107,14:44:47
1.17664,0.00088,14:44:49
NaN,NaN,14:44:51
1.17655,0.00082,14:44:53
1.17651,0.00101,14:44:56
1.17648,0.00101,14:44:58
1.17645,0.00107,14:45:00
1.1764,0.00082,14:45:02
1.17638,0.00088,14:45:04
NaN,NaN,14:45:06
NaN,NaN,14:45:09
NaN,NaN,14:45:11
NaN,NaN,14:45:13
NaN,NaN,14:45:16
NaN,NaN,14:45:18
NaN,NaN,14:45:21
NaN,NaN,14:45:23
NaN,NaN,14:45:26
NaN,NaN,14:45:28
NaN,NaN,14:45:31
NaN,NaN,14:45:33
NaN,NaN,14:45:35
NaN,NaN,14:45:38
NaN,NaN,14:45:40
NaN,NaN,14:45:43
NaN,NaN,14:45:45
NaN,NaN,14:45:48
NaN,NaN,14:45:50
NaN,NaN,14:45:52
NaN,NaN,14:45:55
NaN,NaN,14:45:57
NaN,NaN,14:46:00
NaN,NaN,14:46:02
1.17524,0.00113,14:46:05
1.17521,0.00094,14:46:07
1.17518,0.00094,14:46:09
1.17514,0.00088,14:46:12
1.17509,0.00119,14:46:13
NaN,NaN,14:46:16
1.175,0.00107,14:46:18
NaN,NaN,14:46:21
1.17492,0.00101,14:46:23
