xData0, data0, errData0, xTheory0, theory0
0.00581054687, 0.222775847, 0.00543189649, 0.00581054687, 0.197890848
0.0136230469, 0.211466402, 0.00548594816, 0.00678710937, 0.197272852
0.0214355469, 0.190126196, 0.00556645849, 0.00776367187, 0.196588472
0.0292480469, 0.16670531, 0.00561526784, 0.00874023437, 0.195838913
0.0370605469, 0.158572659, 0.00569753382, 0.00971679687, 0.195025712
0.0448730469, 0.144538149, 0.00572837188, 0.0106933594, 0.194150791
0.0526855469, 0.132158577, 0.0057477422, 0.0116699219, 0.193216324
0.0604980469, 0.140487269, 0.00576122717, 0.0126464844, 0.192224771
0.0683105469, 0.148798615, 0.00574805213, 0.0136230469, 0.191178769
0.0761230469, 0.135357067, 0.00577438358, 0.0145996094, 0.190081209
0.0839355469, 0.133627981, 0.00579623375, 0.0155761719, 0.188935116
0.0917480469, 0.147538319, 0.00575132929, 0.0165527344, 0.187743679
0.0995605469, 0.141750902, 0.00580611785, 0.0175292969, 0.186510265
0.107373047, 0.146742478, 0.00577779346, 0.0185058594, 0.185238317
0.115185547, 0.138741285, 0.00582036729, 0.0194824219, 0.183931395
0.122998047, 0.140193686, 0.00581817061, 0.0204589844, 0.182593152
0.130810547, 0.149279311, 0.00583105184, 0.0214355469, 0.181227282
0.138623047, 0.143474698, 0.00586261558, 0.0224121094, 0.179837555
0.146435547, 0.136964381, 0.00586982729, 0.0233886719, 0.178427771
0.154248047, 0.136740401, 0.00590530106, 0.0243652344, 0.177001715
0.162060547, 0.131897077, 0.0059228135, 0.0253417969, 0.175563186
0.169873047, 0.133587137, 0.0059170156, 0.0263183594, 0.174115971
0.177685547, 0.129595593, 0.00597134305, 0.0272949219, 0.172663808
0.185498047, 0.134121507, 0.00589125468, 0.0282714844, 0.171210393
0.193310547, 0.150411785, 0.00592080903, 0.0292480469, 0.169759378
0.201123047, 0.142260164, 0.0059336268, 0.0302246094, 0.168314278
0.208935547, 0.132640064, 0.00598232584, 0.0312011719, 0.166878551
0.216748047, 0.132581711, 0.00602202363, 0.0321777344, 0.16545558
0.224560547, 0.150387302, 0.00594649801, 0.0331542969, 0.164048567
0.232373047, 0.130178764, 0.00601079968, 0.0341308594, 0.162660643
0.240185547, 0.134471044, 0.00601660911, 0.0351074219, 0.161294743
0.247998047, 0.132751763, 0.00603178081, 0.0360839844, 0.159953728
0.255810547, 0.124836169, 0.00603518865, 0.0370605469, 0.158640221
0.263623047, 0.141225696, 0.00604253515, 0.0380371094, 0.157356754
0.271435547, 0.12642701, 0.00603811447, 0.0390136719, 0.156105638
0.279248047, 0.140878931, 0.00607771234, 0.0399902344, 0.154889047
0.287060547, 0.133197457, 0.00606098466, 0.0409667969, 0.15370895
0.294873047, 0.130796775, 0.00605986382, 0.0419433594, 0.152567148
0.302685547, 0.126420334, 0.00613334472, 0.0429199219, 0.151465252
0.310498047, 0.126439393, 0.00614076241, 0.0438964844, 0.150404692
0.318310547, 0.136282593, 0.00609756148, 0.0448730469, 0.149386689
0.326123047, 0.145197228, 0.00610118318, 0.0458496094, 0.148412317
0.333935547, 0.139552683, 0.00614664068, 0.0468261719, 0.14748244
0.341748047, 0.130140841, 0.00615836074, 0.0478027344, 0.146597743
0.349560547, 0.131485119, 0.00617997504, 0.0487792969, 0.145758748
0.357373047, 0.129339844, 0.006186836, 0.0497558594, 0.144965753
0.365185547, 0.143086806, 0.00617811361, 0.0507324219, 0.144218951
0.372998047, 0.141269982, 0.00617885429, 0.0517089844, 0.143518329
0.380810547, 0.13418372, 0.00622468127, 0.0526855469, 0.142863706
0.388623047, 0.1247674, 0.00623449358, 0.0536621094, 0.1422548
0.396435547, 0.128272086, 0.00625222876, 0.0546386719, 0.141691118
